"Altitude","Density"
6400,0.00196284
6410,0.00196224
6420,0.00196164
6430,0.00196104
6440,0.00196044
6450,0.00195984
6460,0.00195924
6470,0.00195864
6480,0.00195804
6490,0.00195744
6500,0.00195684
6510,0.00195624
6520,0.00195564
6530,0.00195504
6540,0.00195444
6550,0.00195384
6560,0.00195324
6570,0.00195265
6580,0.00195205
6590,0.00195145
6600,0.00195085
6610,0.00195025
6620,0.00194966
6630,0.00194906
6640,0.00194846
6650,0.00194786
6660,0.00194727
6670,0.00194667
6680,0.00194607
6690,0.00194548
6700,0.00194488
6710,0.00194428
6720,0.00194369
6730,0.00194309
6740,0.00194249
6750,0.0019419
6760,0.0019413
6770,0.00194071
6780,0.00194011
6790,0.00193952
6800,0.00193892
6810,0.00193833
6820,0.00193773
6830,0.00193714
6840,0.00193654
6850,0.00193595
6860,0.00193535
6870,0.00193476
6880,0.00193416
6890,0.00193357
6900,0.00193298
6910,0.00193238
6920,0.00193179
6930,0.00193119
6940,0.0019306
6950,0.00193001
6960,0.00192942
6970,0.00192882
6980,0.00192823
6990,0.00192764
7000,0.00192704
7010,0.00192645
7020,0.00192586
7030,0.00192527
7040,0.00192468
7050,0.00192408
7060,0.00192349
7070,0.0019229
7080,0.00192231
7090,0.00192172
7100,0.00192113
7110,0.00192054
7120,0.00191995
7130,0.00191935
7140,0.00191876
7150,0.00191817
7160,0.00191758
7170,0.00191699
7180,0.0019164
7190,0.00191581
7200,0.00191522
7210,0.00191463
7220,0.00191405
7230,0.00191346
7240,0.00191287
7250,0.00191228
7260,0.00191169
7270,0.0019111
7280,0.00191051
7290,0.00190992
7300,0.00190934
7310,0.00190875
7320,0.00190816
7330,0.00190757
7340,0.00190698
7350,0.0019064
7360,0.00190581
7370,0.00190522
7380,0.00190463
7390,0.00190405
7400,0.00190346
7410,0.00190287
7420,0.00190229
7430,0.0019017
7440,0.00190111
7450,0.00190053
7460,0.00189994
7470,0.00189936
7480,0.00189877
7490,0.00189818
7500,0.0018976
7510,0.00189701
7520,0.00189643
7530,0.00189584
7540,0.00189526
7550,0.00189467
7560,0.00189409
7570,0.0018935
7580,0.00189292
7590,0.00189233
7600,0.00189175
7610,0.00189117
7620,0.00189058
7630,0.00189
7640,0.00188942
7650,0.00188883
7660,0.00188825
7670,0.00188767
7680,0.00188708
7690,0.0018865
7700,0.00188592
7710,0.00188533
7720,0.00188475
7730,0.00188417
7740,0.00188359
7750,0.001883
7760,0.00188242
7770,0.00188184
7780,0.00188126
7790,0.00188068
7800,0.0018801
7810,0.00187952
7820,0.00187893
7830,0.00187835
7840,0.00187777
7850,0.00187719
7860,0.00187661
7870,0.00187603
7880,0.00187545
7890,0.00187487
7900,0.00187429
7910,0.00187371
7920,0.00187313
7930,0.00187255
7940,0.00187197
7950,0.00187139
7960,0.00187081
7970,0.00187023
7980,0.00186965
7990,0.00186908
8000,0.0018685
8010,0.00186792
8020,0.00186734
8030,0.00186676
8040,0.00186618
8050,0.00186561
8060,0.00186503
8070,0.00186445
8080,0.00186387
8090,0.0018633
8100,0.00186272
8110,0.00186214
8120,0.00186156
8130,0.00186099
8140,0.00186041
8150,0.00185983
8160,0.00185926
8170,0.00185868
8180,0.00185811
8190,0.00185753
8200,0.00185695
8210,0.00185638
8220,0.0018558
8230,0.00185523
8240,0.00185465
8250,0.00185408
8260,0.0018535
8270,0.00185293
8280,0.00185235
8290,0.00185178
8300,0.0018512
8310,0.00185063
8320,0.00185005
8330,0.00184948
8340,0.0018489
8350,0.00184833
8360,0.00184776
8370,0.00184718
8380,0.00184661
8390,0.00184604
8400,0.00184546
8410,0.00184489
8420,0.00184432
8430,0.00184375
8440,0.00184317
8450,0.0018426
8460,0.00184203
8470,0.00184146
8480,0.00184088
8490,0.00184031
8500,0.00183974
8510,0.00183917
8520,0.0018386
8530,0.00183802
8540,0.00183745
8550,0.00183688
8560,0.00183631
8570,0.00183574
8580,0.00183517
8590,0.0018346
8600,0.00183403
8610,0.00183346
8620,0.00183289
8630,0.00183232
8640,0.00183175
8650,0.00183118
8660,0.00183061
8670,0.00183004
8680,0.00182947
8690,0.0018289
8700,0.00182833
8710,0.00182776
8720,0.00182719
8730,0.00182663
8740,0.00182606
8750,0.00182549
8760,0.00182492
8770,0.00182435
8780,0.00182378
8790,0.00182322
8800,0.00182265
8810,0.00182208
8820,0.00182151
8830,0.00182095
8840,0.00182038
8850,0.00181981
8860,0.00181924
8870,0.00181868
8880,0.00181811
8890,0.00181754
8900,0.00181698
8910,0.00181641
8920,0.00181585
8930,0.00181528
8940,0.00181471
8950,0.00181415
8960,0.00181358
8970,0.00181302
8980,0.00181245
8990,0.00181189
9000,0.00181132
9010,0.00181076
9020,0.00181019
9030,0.00180963
9040,0.00180906
9050,0.0018085
9060,0.00180793
9070,0.00180737
9080,0.00180681
9090,0.00180624
9100,0.00180568
9110,0.00180511
9120,0.00180455
9130,0.00180399
9140,0.00180342
9150,0.00180286
9160,0.0018023
9170,0.00180174
9180,0.00180117
9190,0.00180061
9200,0.00180005
9210,0.00179949
9220,0.00179892
9230,0.00179836
9240,0.0017978
9250,0.00179724
9260,0.00179668
9270,0.00179612
9280,0.00179555
9290,0.00179499
9300,0.00179443
9310,0.00179387
9320,0.00179331
9330,0.00179275
9340,0.00179219
9350,0.00179163
9360,0.00179107
9370,0.00179051
9380,0.00178995
9390,0.00178939
9400,0.00178883
9410,0.00178827
9420,0.00178771
9430,0.00178715
9440,0.00178659
9450,0.00178603
9460,0.00178547
9470,0.00178492
9480,0.00178436
9490,0.0017838
9500,0.00178324
9510,0.00178268
9520,0.00178212
9530,0.00178157
9540,0.00178101
9550,0.00178045
9560,0.00177989
9570,0.00177934
9580,0.00177878
9590,0.00177822
9600,0.00177766
9610,0.00177711
9620,0.00177655
9630,0.00177599
9640,0.00177544
9650,0.00177488
9660,0.00177433
9670,0.00177377
9680,0.00177321
9690,0.00177266
9700,0.0017721
9710,0.00177155
9720,0.00177099
9730,0.00177044
9740,0.00176988
9750,0.00176933
9760,0.00176877
9770,0.00176822
9780,0.00176766
9790,0.00176711
9800,0.00176655
9810,0.001766
9820,0.00176544
9830,0.00176489
9840,0.00176434
9850,0.00176378
9860,0.00176323
9870,0.00176268
9880,0.00176212
9890,0.00176157
9900,0.00176102
9910,0.00176046
9920,0.00175991
9930,0.00175936
9940,0.00175881
9950,0.00175825
9960,0.0017577
9970,0.00175715
9980,0.0017566
9990,0.00175605
10000,0.00175549
10010,0.00175494
10020,0.00175439
10030,0.00175384
10040,0.00175329
10050,0.00175274
10060,0.00175219
10070,0.00175164
10080,0.00175108
10090,0.00175053
10100,0.00174998
10110,0.00174943
10120,0.00174888
10130,0.00174833
10140,0.00174778
10150,0.00174723
10160,0.00174668
10170,0.00174614
10180,0.00174559
10190,0.00174504
10200,0.00174449
10210,0.00174394
10220,0.00174339
10230,0.00174284
10240,0.00174229
10250,0.00174174
10260,0.0017412
10270,0.00174065
10280,0.0017401
10290,0.00173955
10300,0.001739
10310,0.00173846
10320,0.00173791
10330,0.00173736
10340,0.00173682
10350,0.00173627
10360,0.00173572
10370,0.00173517
10380,0.00173463
10390,0.00173408
10400,0.00173353
10410,0.00173299
10420,0.00173244
10430,0.0017319
10440,0.00173135
10450,0.0017308
10460,0.00173026
10470,0.00172971
10480,0.00172917
10490,0.00172862
10500,0.00172808
10510,0.00172753
10520,0.00172699
10530,0.00172644
10540,0.0017259
10550,0.00172535
10560,0.00172481
10570,0.00172427
10580,0.00172372
10590,0.00172318
10600,0.00172263
10610,0.00172209
10620,0.00172155
10630,0.001721
10640,0.00172046
10650,0.00171992
10660,0.00171937
10670,0.00171883
10680,0.00171829
10690,0.00171775
10700,0.0017172
10710,0.00171666
10720,0.00171612
10730,0.00171558
10740,0.00171504
10750,0.00171449
10760,0.00171395
10770,0.00171341
10780,0.00171287
10790,0.00171233
10800,0.00171179
10810,0.00171125
10820,0.0017107
10830,0.00171016
10840,0.00170962
10850,0.00170908
10860,0.00170854
10870,0.001708
10880,0.00170746
10890,0.00170692
10900,0.00170638
10910,0.00170584
10920,0.0017053
10930,0.00170476
10940,0.00170422
10950,0.00170369
10960,0.00170315
10970,0.00170261
10980,0.00170207
10990,0.00170153
11000,0.00170099
11010,0.00170045
11020,0.00169991
11030,0.00169938
11040,0.00169884
11050,0.0016983
11060,0.00169776
