,0,1,2,3,4,5,6
102,30.0,0.97,140.0,138.0,0.0016,8.0,779.0
103,11.0,0.97,149.0,95.0,0.0008,11.7,283.0
104,14.0,0.97,78.0,69.0,0.0009,11.7,142.0
105,25.0,2.2,72.0,158.0,0.001,11.7,543.0
106,7.0,2.2,21.0,89.0,0.0014,8.0,116.0
107,9.0,2.2,175.0,119.0,0.0022,11.7,798.0
108,7.0,0.97,51.0,114.0,0.0006,8.0,129.0
109,10.0,0.97,199.0,81.0,0.0019,8.0,405.0
110,25.0,0.97,149.0,117.0,0.0004,8.0,444.0
111,14.0,2.2,86.0,176.0,0.0008,11.7,697.0
112,7.0,0.97,116.0,85.0,0.0005,8.0,116.0
113,23.0,0.97,106.0,90.0,0.0001,11.7,148.0
114,7.0,2.2,238.0,90.0,0.0013,8.0,424.0
115,17.0,2.2,65.0,74.0,0.0007,8.0,172.0
116,14.0,2.2,229.0,96.0,0.0022,11.7,708.0
117,13.0,0.97,78.0,175.0,0.0004,8.0,490.0
118,9.0,0.97,131.0,160.0,0.0012,11.7,643.0
119,27.0,2.2,162.0,155.0,0.0023,8.0,1496.0
120,8.0,2.2,32.0,109.0,0.0001,8.0,61.0
121,20.0,2.2,201.0,146.0,0.0011,8.0,1259.0
122,19.0,0.97,142.0,130.0,0.0014,11.7,563.0
123,9.0,2.2,183.0,149.0,0.0015,8.0,1320.0
124,17.0,2.2,191.0,107.0,0.001,8.0,717.0
125,22.0,2.2,228.0,125.0,0.0006,8.0,910.0
126,23.0,0.97,218.0,101.0,0.001,11.7,512.0
127,21.0,0.97,15.0,81.0,0.0009,11.7,46.0
128,27.0,0.97,83.0,166.0,0.0003,8.0,455.0
129,6.0,0.97,244.0,97.0,0.0016,11.7,244.0
130,14.0,0.97,86.0,111.0,0.0002,8.0,166.0
131,27.0,0.97,132.0,82.0,0.0001,11.7,171.0
132,26.0,0.97,162.0,105.0,0.0012,8.0,527.0
133,8.0,0.97,97.0,114.0,0.0013,11.7,309.0
134,26.0,2.2,124.0,125.0,0.0019,8.0,802.0
135,11.0,2.2,150.0,103.0,0.0017,8.0,649.0
136,26.0,2.2,19.0,151.0,0.0009,8.0,244.0
137,12.0,2.2,172.0,95.0,0.0012,11.7,487.0
138,8.0,0.97,50.0,174.0,0.0006,8.0,336.0
139,14.0,0.97,103.0,168.0,0.0006,11.7,533.0
140,8.0,2.2,42.0,133.0,0.0021,8.0,432.0
141,25.0,0.97,179.0,162.0,0.0012,8.0,1123.0
142,11.0,0.97,85.0,122.0,0.0016,11.7,361.0
143,9.0,0.97,65.0,72.0,0.0022,11.7,152.0
144,19.0,2.2,22.0,162.0,0.0002,11.7,153.0
